10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Infrit~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-leveluplive-emoticon-fde03ef0865dae45-22x30.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: AnexisCoD~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-560323bb46c43b13-28x28.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: shyHeart~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-b9ded03d606d8bdd-40x18.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: tangGong~http://static-cdn.jtvnw.net/jtv_user_pictures/emoticon-8984-src-fe06cc3b7708ddd9-28x28.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: maelkaward~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-24c3a15a33516bc5-60x30.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: typeHai~http://static-cdn.jtvnw.net/jtv_user_pictures/emoticon-11625-src-ba581657f3defaea-28x28.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: manoAM~http://static-cdn.jtvnw.net/jtv_user_pictures/emoticon-19356-src-5bcac2132dde0707-28x28.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: sodaPYAH~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-814293d26e7069e4-28x28.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: GingerPower~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-2febb829eae08b0a-21x27.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: BionicBunion~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-740242272832a108-30x30.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: RageFace~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-da65747378e83945-28x28.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: FrankerZ~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-3b96527b46b1c941-40x30.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: OneHand~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-b6d67569a0c6340a-20x27.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: TinyFace~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-b93007bc230754e1-19x30.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: HassanChop~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-22c6299e539344a9-19x28.png
10:39:11.313 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: BloodTrail~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-f124d3a96eff228a-41x28.png
10:39:11.314 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: TheTarFu~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-1fcfa48228bbd6ea-25x28.png
